epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.48998,0.96726,2.34923,1.28616,0.58517,0.85,0.87795,0.63382,1.65118,1.03064,1.37704,0,0,0
2,1.91295,1.25075,3.26613,1.64468,0.58892,0.85,0.88555,0.634,1.67471,1.02,1.38727,1.17822e-06,1.17822e-06,1.17822e-06
3,2.3162,1.35233,3.64039,1.61436,0.59229,0.85,0.8539,0.63381,1.69106,1.01435,1.39155,2.33288e-06,2.33288e-06,2.33288e-06
4,2.70428,1.0292,2.75133,1.27626,0.57683,0.85,0.85443,0.63558,1.68911,1.01449,1.38571,3.46397e-06,3.46397e-06,3.46397e-06
5,3.14795,1.34295,2.99849,1.6276,0.62081,0.9265,0.90673,0.64004,1.68343,1.01703,1.37664,4.5715e-06,4.5715e-06,4.5715e-06
6,3.71835,0.94046,2.25017,1.21854,0.61346,0.92998,0.90658,0.64116,1.68348,1.01778,1.37458,5.65548e-06,5.65548e-06,5.65548e-06
7,4.26418,1.40215,3.79178,1.7458,0.55266,0.85081,0.8594,0.62849,1.67612,1.02103,1.3655,6.71588e-06,6.71588e-06,6.71588e-06
8,4.83971,1.42532,3.9928,1.79838,0.56292,0.85,0.86145,0.62931,1.69599,1.04346,1.37634,7.75273e-06,7.75273e-06,7.75273e-06
9,5.38507,1.36942,2.85787,1.4772,0.55769,0.86244,0.86173,0.62866,1.68193,1.04614,1.3685,8.76602e-06,8.76602e-06,8.76602e-06
10,5.93632,1.22667,2.44304,1.56995,0.57388,0.86667,0.86119,0.63295,1.68412,1.04907,1.36758,9.75574e-06,9.75574e-06,9.75574e-06
11,6.48422,1.07244,1.70674,1.34544,0.57395,0.86389,0.81914,0.61292,1.67931,1.05296,1.36517,1.07219e-05,1.07219e-05,1.07219e-05
12,7.15562,1.34597,2.78054,1.55293,0.58119,0.86667,0.86095,0.63335,1.67701,1.05415,1.36321,1.16645e-05,1.16645e-05,1.16645e-05
13,7.69981,0.99724,2.46244,1.34413,0.57181,0.86667,0.88903,0.62188,1.68302,1.0719,1.36427,1.25835e-05,1.25835e-05,1.25835e-05
14,8.26847,1.2372,2.15497,1.50844,0.56983,0.86667,0.88926,0.62417,1.67466,1.08177,1.36206,1.3479e-05,1.3479e-05,1.3479e-05
15,8.85521,1.19519,2.82736,1.49551,0.54745,0.86667,0.89782,0.62843,1.67722,1.08547,1.36342,1.43509e-05,1.43509e-05,1.43509e-05
16,9.41181,1.03482,2.08996,1.39475,0.55442,0.86667,0.89615,0.62389,1.67755,1.0861,1.36278,1.51993e-05,1.51993e-05,1.51993e-05
17,10.016,1.1175,2.73239,1.43573,0.81299,0.65,0.89628,0.62522,1.69056,1.09991,1.36768,1.60241e-05,1.60241e-05,1.60241e-05
18,10.6415,0.89423,2.38968,1.30617,0.81299,0.65,0.89628,0.62522,1.69056,1.09991,1.36768,1.68253e-05,1.68253e-05,1.68253e-05
19,11.3088,1.00806,1.74582,1.46805,0.81063,0.65,0.88681,0.61889,1.71619,1.13544,1.37866,1.7603e-05,1.7603e-05,1.7603e-05
20,11.8799,1.2352,2.44145,1.58071,0.81063,0.65,0.88681,0.61889,1.71619,1.13544,1.37866,1.83571e-05,1.83571e-05,1.83571e-05
21,12.6559,1.04687,2.35854,1.46195,0.81355,0.65,0.85606,0.61384,1.71747,1.15422,1.38507,1.90876e-05,1.90876e-05,1.90876e-05
22,13.266,0.99671,2.42482,1.35619,0.81355,0.65,0.85606,0.61384,1.71747,1.15422,1.38507,1.97946e-05,1.97946e-05,1.97946e-05
23,13.871,0.91765,1.98199,1.46902,0.6376,0.69947,0.85733,0.6144,1.74888,1.21453,1.40325,2.0478e-05,2.0478e-05,2.0478e-05
24,14.424,0.77719,1.47172,1.18475,0.6376,0.69947,0.85733,0.6144,1.74888,1.21453,1.40325,2.11379e-05,2.11379e-05,2.11379e-05
25,15.0402,0.69321,1.55707,1.0808,0.64829,0.69906,0.85769,0.61452,1.74987,1.24227,1.41126,2.17741e-05,2.17741e-05,2.17741e-05
26,15.5677,1.16127,1.80804,1.38682,0.64829,0.69906,0.85769,0.61452,1.74987,1.24227,1.41126,2.23869e-05,2.23869e-05,2.23869e-05
27,16.1196,0.97321,1.55168,1.30054,0.65346,0.7,0.857,0.59804,1.71897,1.25508,1.39771,2.2976e-05,2.2976e-05,2.2976e-05
28,16.6306,1.03148,1.44819,1.24733,0.65346,0.7,0.857,0.59804,1.71897,1.25508,1.39771,2.35417e-05,2.35417e-05,2.35417e-05
29,17.1817,1.12162,1.77558,1.5478,0.66003,0.7,0.86555,0.59867,1.67994,1.27035,1.38301,2.40837e-05,2.40837e-05,2.40837e-05
30,17.8421,0.75081,1.66821,1.40729,0.66003,0.7,0.86555,0.59867,1.67994,1.27035,1.38301,2.46022e-05,2.46022e-05,2.46022e-05
31,18.3893,1.22662,1.55957,1.58955,0.66647,0.7,0.85707,0.59332,1.67195,1.30765,1.37974,2.50971e-05,2.50971e-05,2.50971e-05
32,18.8901,0.97262,2.09764,1.42744,0.66647,0.7,0.85707,0.59332,1.67195,1.30765,1.37974,2.55685e-05,2.55685e-05,2.55685e-05
