epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.3223,3.00644,4.6641,2.91186,0.00143,0.04179,0.00076,0.00016,3.19726,4.33979,3.30857,8.335e-05,8.335e-05,8.335e-05
2,47.97,2.72624,4.53324,2.74167,0.0047,0.13303,0.00283,0.00102,1.91029,3.96917,3.24002,0.000183188,0.000183188,0.000183188
3,70.7606,1.63428,3.71828,1.90449,0.14891,0.28221,0.12314,0.0576,1.46648,2.95933,2.82275,0.000282829,0.000282829,0.000282829
4,93.671,1.43796,2.87841,1.62502,0.42255,0.49838,0.4536,0.26366,1.41917,2.27659,3.0531,0.000382271,0.000382271,0.000382271
5,116.558,1.33228,2.12214,1.5865,0.65471,0.55771,0.60185,0.31452,1.59699,1.88517,2.95896,0.000481516,0.000481516,0.000481516
6,139.569,1.26414,1.69115,1.50205,0.74882,0.73183,0.77241,0.46263,1.31459,1.55675,2.49387,0.000580562,0.000580562,0.000580562
7,162.501,1.20471,1.37557,1.39675,0.78212,0.73759,0.77632,0.47401,1.26206,1.56036,2.29133,0.00067941,0.00067941,0.00067941
8,185.183,1.16993,1.16126,1.38476,0.7867,0.77754,0.83886,0.55061,1.21107,1.4244,2.76488,0.00077806,0.00077806,0.00077806
9,207.852,1.10531,0.99009,1.37291,0.87178,0.82964,0.8992,0.60175,1.22771,1.20747,3.73013,0.000876513,0.000876513,0.000876513
10,230.714,1.07126,0.87633,1.4043,0.9142,0.83724,0.92626,0.63378,1.15138,1.06812,2.99929,0.000974767,0.000974767,0.000974767
11,253.644,1.05653,0.80119,1.38783,0.92515,0.87053,0.9461,0.63985,1.19772,0.79247,4.27392,0.00107282,0.00107282,0.00107282
12,276.677,1.03585,0.73045,1.39616,0.9261,0.86784,0.93261,0.61303,1.25078,0.80243,3.44787,0.00117068,0.00117068,0.00117068
13,299.653,1.03089,0.71838,1.41526,0.92745,0.88749,0.95058,0.68056,1.01629,0.71569,2.92373,0.00126834,0.00126834,0.00126834
14,322.856,1.01823,0.6848,1.40793,0.91193,0.86328,0.93171,0.64686,1.12529,0.73818,2.57704,0.0013658,0.0013658,0.0013658
15,345.651,0.9975,0.658,1.38944,0.9363,0.8979,0.95398,0.69936,0.99118,0.66645,3.40811,0.00146307,0.00146307,0.00146307
16,368.711,0.99076,0.64389,1.40337,0.90824,0.88582,0.9487,0.70564,0.97752,0.69081,2.50752,0.00156013,0.00156013,0.00156013
17,391.627,0.9866,0.62756,1.40888,0.92944,0.87925,0.9552,0.70058,1.00635,0.68799,2.71571,0.00164059,0.00164059,0.00164059
18,414.612,0.98989,0.61776,1.41527,0.91879,0.91672,0.96068,0.70925,0.98575,0.62667,3.16419,0.00163894,0.00163894,0.00163894
19,437.496,0.96802,0.59645,1.41218,0.93297,0.90755,0.95605,0.70734,0.97372,0.63583,2.46809,0.00163729,0.00163729,0.00163729
20,460.58,0.96259,0.59293,1.39358,0.91649,0.90249,0.96152,0.70846,0.95882,0.62277,3.00791,0.00163564,0.00163564,0.00163564
21,483.576,0.9654,0.58351,1.39974,0.91444,0.87595,0.95711,0.7157,0.96303,0.63115,3.89032,0.00163399,0.00163399,0.00163399
22,506.49,0.95896,0.58817,1.40208,0.91401,0.90704,0.96034,0.72077,0.99344,0.63462,2.91069,0.00163234,0.00163234,0.00163234
23,529.352,0.93285,0.56348,1.38173,0.91626,0.90438,0.95965,0.73367,0.92289,0.62471,2.60574,0.00163069,0.00163069,0.00163069
24,552.271,0.93258,0.55687,1.37786,0.9292,0.91505,0.96074,0.72485,0.95498,0.59483,3.29188,0.00162904,0.00162904,0.00162904
25,575.035,0.93256,0.56162,1.40777,0.93129,0.9072,0.96724,0.72751,0.93358,0.58901,2.62444,0.00162739,0.00162739,0.00162739
26,597.984,0.9301,0.55421,1.38979,0.90432,0.93762,0.97334,0.72291,0.95264,0.58123,2.4412,0.00162574,0.00162574,0.00162574
27,620.897,0.92648,0.54978,1.40025,0.921,0.93167,0.96713,0.72924,0.94905,0.59306,2.4658,0.00162409,0.00162409,0.00162409
28,643.953,0.91129,0.54619,1.39183,0.92856,0.92214,0.96922,0.727,0.94351,0.58173,2.38231,0.00162244,0.00162244,0.00162244
29,666.752,0.91876,0.54741,1.38448,0.92188,0.90865,0.96509,0.73731,0.93091,0.57878,2.79511,0.00162079,0.00162079,0.00162079
30,689.796,0.91753,0.53869,1.37615,0.9181,0.92538,0.9648,0.73229,0.93804,0.59053,2.47208,0.00161914,0.00161914,0.00161914
31,712.628,0.90459,0.52717,1.35864,0.92655,0.9264,0.9663,0.73852,0.91737,0.56434,2.33301,0.00161749,0.00161749,0.00161749
32,735.505,0.90844,0.53091,1.38321,0.90878,0.94543,0.96924,0.71697,0.97902,0.56757,2.44252,0.00161584,0.00161584,0.00161584
33,758.149,0.89127,0.51996,1.34413,0.91086,0.91488,0.95978,0.70053,1.0073,0.59878,2.52703,0.00161419,0.00161419,0.00161419
34,781.058,0.88888,0.52275,1.35229,0.93684,0.93568,0.97109,0.73213,0.9279,0.54771,3.23668,0.00161254,0.00161254,0.00161254
35,803.698,0.88538,0.51874,1.36677,0.91989,0.93849,0.97003,0.73216,0.9489,0.56501,2.94782,0.00161089,0.00161089,0.00161089
36,826.555,0.8868,0.50472,1.37992,0.9538,0.9128,0.96416,0.72712,0.95585,0.56604,2.62391,0.00160924,0.00160924,0.00160924
37,849.35,0.87754,0.50645,1.35739,0.94432,0.9174,0.96693,0.71815,0.99339,0.55731,3.30851,0.00160759,0.00160759,0.00160759
38,872.391,0.88842,0.51065,1.39428,0.95488,0.88759,0.96959,0.73534,0.93821,0.58578,3.0067,0.00160594,0.00160594,0.00160594
39,895.222,0.88633,0.51025,1.36817,0.93149,0.92317,0.96755,0.73368,0.97025,0.59572,2.35358,0.00160429,0.00160429,0.00160429
40,918.275,0.87941,0.50368,1.36513,0.9455,0.91254,0.97031,0.74029,0.9117,0.56613,2.88855,0.00160264,0.00160264,0.00160264
41,940.961,0.88383,0.50505,1.36266,0.90547,0.92804,0.96718,0.73119,0.92249,0.59264,2.7896,0.00160099,0.00160099,0.00160099
42,963.832,0.88165,0.50263,1.36297,0.94337,0.90407,0.97139,0.73575,0.93652,0.56932,2.49078,0.00159934,0.00159934,0.00159934
43,986.703,0.88554,0.51874,1.36123,0.95755,0.89648,0.96649,0.73803,0.92798,0.56411,2.76221,0.00159769,0.00159769,0.00159769
44,1009.52,0.87382,0.50512,1.35757,0.95038,0.93203,0.97361,0.75464,0.89839,0.54278,2.89729,0.00159604,0.00159604,0.00159604
45,1032.38,0.85733,0.49946,1.33932,0.9413,0.93017,0.97463,0.74647,0.91406,0.55895,2.47593,0.00159439,0.00159439,0.00159439
46,1055.29,0.85155,0.49148,1.33273,0.94474,0.91862,0.9701,0.73613,0.93221,0.568,2.65475,0.00159274,0.00159274,0.00159274
47,1078.18,0.85559,0.48766,1.34012,0.93455,0.94954,0.9756,0.73345,0.9398,0.55185,2.69172,0.00159108,0.00159108,0.00159108
48,1101.07,0.86719,0.4995,1.355,0.95547,0.93438,0.97206,0.73654,0.93316,0.53005,3.51303,0.00158943,0.00158943,0.00158943
49,1124.11,0.8594,0.49256,1.34473,0.95479,0.91261,0.96798,0.72943,0.96519,0.56686,2.22122,0.00158778,0.00158778,0.00158778
50,1146.93,0.84775,0.49305,1.33788,0.9478,0.91427,0.96569,0.73699,0.92783,0.55535,2.5252,0.00158613,0.00158613,0.00158613
51,1169.75,0.846,0.48502,1.34684,0.93989,0.9291,0.97042,0.74088,0.92288,0.54244,2.77203,0.00158448,0.00158448,0.00158448
52,1192.77,0.85387,0.48335,1.34761,0.9382,0.93393,0.97128,0.7275,0.94371,0.55052,2.9969,0.00158283,0.00158283,0.00158283
53,1215.76,0.84129,0.47502,1.34826,0.9631,0.92371,0.97359,0.7446,0.91619,0.53383,3.33138,0.00158118,0.00158118,0.00158118
54,1238.68,0.84614,0.47418,1.33313,0.957,0.91391,0.97201,0.74095,0.92916,0.54876,2.96263,0.00157953,0.00157953,0.00157953
55,1261.78,0.842,0.47982,1.3599,0.96085,0.94122,0.9739,0.75001,0.91058,0.52692,2.39652,0.00157788,0.00157788,0.00157788
56,1285.07,0.84381,0.47062,1.32603,0.93744,0.93116,0.96857,0.73415,0.92273,0.55264,2.82398,0.00157623,0.00157623,0.00157623
57,1307.96,0.83163,0.47606,1.34251,0.957,0.92586,0.9723,0.74871,0.9071,0.53505,2.39835,0.00157458,0.00157458,0.00157458
58,1331,0.82702,0.46836,1.31224,0.94456,0.93666,0.97224,0.75294,0.89308,0.53467,2.57432,0.00157293,0.00157293,0.00157293
59,1353.76,0.82958,0.47369,1.32113,0.94668,0.94184,0.97027,0.74697,0.90397,0.52833,2.65958,0.00157128,0.00157128,0.00157128
60,1376.47,0.82559,0.47005,1.31722,0.93679,0.93987,0.97418,0.73998,0.91541,0.53864,2.63784,0.00156963,0.00156963,0.00156963
61,1399.45,0.81365,0.46141,1.33927,0.95459,0.92805,0.96823,0.73452,0.93219,0.54722,2.72032,0.00156798,0.00156798,0.00156798
