epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5382,2.50543,4.67041,2.6363,0.19781,0.2414,0.15,0.06285,1.60926,3.57613,3.36119,0.0023,0.0023,0.0023
2,19.3314,1.36643,1.94368,1.69483,0.76861,0.75642,0.81996,0.51048,1.33063,1.31933,3.01709,0.00469069,0.00469069,0.00469069
3,27.1241,1.22862,1.07405,1.50933,0.91915,0.86147,0.93871,0.64221,1.19421,0.82256,2.26009,0.00707188,0.00707188,0.00707188
4,34.6723,1.15424,0.85236,1.50899,0.89137,0.88147,0.93428,0.64912,1.07715,0.78008,2.37061,0.00944357,0.00944357,0.00944357
5,42.1985,1.14224,0.74978,1.47315,0.91137,0.89679,0.93707,0.64959,1.05258,0.69863,3.20989,0.0099208,0.0099208,0.0099208
6,49.723,1.10115,0.69276,1.45952,0.93044,0.91133,0.96462,0.67655,1.08943,0.65369,5.10829,0.009901,0.009901,0.009901
7,57.2911,1.08056,0.66984,1.45237,0.89463,0.86221,0.93686,0.65706,1.07823,0.71849,2.56868,0.0098812,0.0098812,0.0098812
8,65.0193,1.05947,0.64305,1.43434,0.88993,0.88422,0.94248,0.67125,1.05061,0.71647,2.89981,0.0098614,0.0098614,0.0098614
9,73.1542,1.05375,0.6345,1.42721,0.93235,0.91042,0.96802,0.70383,1.06129,0.62593,3.38852,0.0098416,0.0098416,0.0098416
10,81.0561,1.03715,0.62367,1.40796,0.91711,0.9131,0.96737,0.69603,1.03168,0.65124,3.02813,0.0098218,0.0098218,0.0098218
11,88.9424,1.02705,0.61278,1.41457,0.93228,0.90527,0.97061,0.72065,0.98189,0.60711,2.16223,0.009802,0.009802,0.009802
12,96.9099,1.02943,0.60672,1.3936,0.9304,0.89023,0.96553,0.72179,0.96221,0.62961,3.18473,0.0097822,0.0097822,0.0097822
13,104.848,1.01659,0.59833,1.40589,0.9454,0.9158,0.97318,0.7259,0.98724,0.5991,2.31043,0.0097624,0.0097624,0.0097624
14,113.002,1.00863,0.58386,1.41071,0.93076,0.94666,0.9743,0.71811,0.97156,0.60815,2.22107,0.0097426,0.0097426,0.0097426
15,120.918,1.00028,0.58193,1.40746,0.95216,0.94187,0.97789,0.67994,1.14954,0.60171,2.12429,0.0097228,0.0097228,0.0097228
